bundle_name,skin_name,skin_type,value_vp,image_url
All Select Valorant skins,Storm Maw,gun,3500,
All Deluxe Valorant skins,VALORANT Go! Vol. 2,gun,35950,
All Premium Valorant skins,Neptune (V25),gun,7100,
All Exclusive Valorant skins,Divergence,gun,8700,
All time-limited Valorant skins,Duo's Day // Haz & Matt collection,gun,,
All time-limited Valorant skins,VCT 2025 Team Capsules,gun,,
All time-limited Valorant skins,VCT 2025 Season Collection,gun,,
All time-limited Valorant skins,VCT 2024 Capsules,gun,,
All time-limited Valorant skins,The Ignite collection,gun,,
All time-limited Valorant skins,Arcane,gun,,
All time-limited Valorant skins,Valorant Champions 2021 bundle,gun,202120216264,
All time-limited Valorant skins,Valorant Champions 2022 bundle,gun,20222520226167,
All time-limited Valorant skins,VCT LOCK//IN capsule,gun,,
All Valorant battle pass skins,Season 2025: V25,gun,,
